ID	Gene.symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
H3146B10_1	Bcat2	0.23195	0.11475	1.03834778444197	0.313531880212118	0.999805217187098	-4.6140167811996
H3087B05_1	Gtf3c1	-0.37555	0.00148750000000001	-1.03831862616213	0.313545065254655	0.999805217187098	-4.61402595018965
H3044D12_1		0.2319	-0.0209125	1.03820278537386	0.31359745106805	0.999805217187098	-4.61406237496364
H3148C02_1	Hs6st2	-0.178225	-0.36013125	-1.03802029365484	0.313679990660137	0.999805217187098	-4.61411975074891
H3138H05_1	AI837181	0.184775	0.12255625	1.03786449763507	0.313750468314534	0.999805217187098	-4.61416872696907
H3133C05_1	Ogdh	-0.21355	-0.28251875	-1.03783968183666	0.313761695318316	0.999805217187098	-4.61417652755003
H3017H07_1		0.2025	0.0720375	1.03776073070924	0.313797415794411	0.999805217187098	-4.61420134400104
H3127G02_1		0.254975	-0.00236249999999999	1.03773307929394	0.313809927029624	0.999805217187098	-4.61421003522354
H3082E01_1		-0.2235	0.13760625	-1.03761787706934	0.313862055591511	0.999805217187098	-4.61424624288428
H3069B06_1		-0.32425	-0.0101	-1.03757024364018	0.313883611347647	0.999805217187098	-4.61426121296707
H3001D07_1		0.24635	0.095575	1.03751202437476	0.313909958997566	0.999805217187098	-4.61427950918658
H3099G04_1	Slc28a3	0.176175	0.28571875	1.0374098194445	0.313956216587257	0.999805217187098	-4.61431162653164
H3058H09_1	1810013D10Rik	0.2066	0.01555625	1.03737991628129	0.313969751576675	0.999805217187098	-4.61432102296008
H3151A08_1	Rab3b	0.280025	0.1414125	1.03729666077563	0.314007437497905	0.999805217187098	-4.61434718307818
H3151H09_1		0.22315	-0.05779375	1.03707193158517	0.314109178202652	0.999805217187098	-4.61441778794882
H3001D02_1	Hs3st1	0.3316	0.3779125	1.03663024327175	0.314309210724278	0.999805217187098	-4.61455652085112
H3036E11_1		0.223375	-0.01210625	1.0365580635907	0.314341908248267	0.999805217187098	-4.61457918776667
H3035D07_1		0.235975	0.0290625	1.0361999292934	0.314504179758689	0.999805217187098	-4.61469163564315
H3132E09_1	Suv420h1	0.284025	0.18151875	1.03614399752366	0.314529527993559	0.999805217187098	-4.61470919442919
H3040C02_1		-0.2149	0.010625	-1.03605858877628	0.314568237994892	0.999805217187098	-4.61473600552578
H3150F12_1	Bccip	-0.1644	-0.23484375	-1.03588275839445	0.314647940741549	0.999805217187098	-4.61479119577194
H3154F04_1		-0.231025	-0.0862625	-1.0358716519083	0.314652975723643	0.999805217187098	-4.61479468166239
H3124B10_1	Cox10	-0.1707	-0.06500625	-1.03583952043663	0.314667542436355	0.999805217187098	-4.61480476630287
H3035G04_1	Pepd	0.213575	0.19786875	1.0356481977687	0.314754288030227	0.999805217187098	-4.61486480879948
H3049H10_1	Wnk1	-0.30295	-0.1776625	-1.03544346050789	0.314847134757275	0.999805217187098	-4.61492905134512
H3061H12_1		0.2765	-0.09259375	1.03540567217198	0.314864273611851	0.999805217187098	-4.61494090747408
H3011E07_1	Trap1a	-0.32025	-0.04185	-1.03514963497982	0.314980416569307	0.999805217187098	-4.61502123028104
H3150B10_1		0.170675	0.09768125	1.0350437421857	0.315028460360436	0.999805217187098	-4.61505444583166
H3077B06_1	Elovl6	-0.283275	-0.43759375	-1.03483017431025	0.315125372528184	0.999805217187098	-4.61512142770979
H3117H07_1	Ampd2	0.230075	0.0271	1.03397101045723	0.315515456820804	0.999805217187098	-4.61539077779959
H3004D10_1	Eif3s10	-0.213575	0.0440375	-1.03364712258255	0.315662600563946	0.999805217187098	-4.61549227098105
H3074H11_1	Ascc1	0.22445	-0.01780625	1.03360934185263	0.315679767719072	0.999805217187098	-4.6155041082541
H3121A09_1		0.2263	0.0456125	1.03332067047295	0.315810958919931	0.999805217187098	-4.61559454191343
H3069H09_1		0.32085	0.01405625	1.03323616559602	0.315849370854397	0.999805217187098	-4.61562101138842
H3106E07_1	Suv420h1	0.24885	0.18295	1.03321706090286	0.31585805541066	0.999805217187098	-4.61562699531389
H3078G07_1		0.292675	0.2963875	1.03308085380887	0.315919976987766	0.999805217187098	-4.61566965519907
H3100E10_1	Zfp706	0.1637	0.2901875	1.03261836449443	0.316130295638087	0.999805217187098	-4.61581447262154
H3148A05_1	Cxcr7	0.330525	-0.07555	1.03229960904197	0.316275309076849	0.999805217187098	-4.61591425298422
H3119A05_1	Selm	-0.310875	-0.01396875	-1.0320406976455	0.31639313227889	0.999805217187098	-4.61599528212388
H3078G06_1		0.2269	0.0769125	1.03195118596677	0.316433873792807	0.999805217187098	-4.61602329198781
H3114E10_1	Pibf1	0.22165	0.01781875	1.03187637655894	0.316467926399992	0.999805217187098	-4.61604669974453
H3138A09_1		0.190375	-0.02383125	1.03185070157963	0.316479614036313	0.999805217187098	-4.61605473309526
H3035F03_1		-0.3087	-0.07809375	-1.0317749878835	0.31651408184482	0.999805217187098	-4.6160784219447
H3091B02_1	BC061212///A430089I19Rik	0.202625	0.07540625	1.0317089852778	0.316544130977659	0.999805217187098	-4.61609907130915
H3115B10_1	Spop	0.14985	0.177425	1.03154993602849	0.316616550011353	0.999805217187098	-4.61614882659819
H3063H02_1	Wwc2	0.399225	0.3802375	1.03142252230595	0.31667457315409	0.999805217187098	-4.61618868092557
H3159E01_1	Sall2	0.19505	0.13094375	1.03120676587256	0.316772844156762	0.999805217187098	-4.61625615937575
H3045H11_1		0.17905	0.1231375	1.03115105837646	0.316798220897866	0.999805217187098	-4.61627358021787
H3036B10_1		-0.15175	-0.03995625	-1.0307662800749	0.316973540737375	0.999805217187098	-4.61639388743468
H3149G07_1		-0.193275	0.0199125	-1.0304630816078	0.317111738481846	0.999805217187098	-4.61648866201319
H3105H07_1	Timd2///L1Md-Tf14	0.2276	0.082525	1.03044162906509	0.317121518172798	0.999805217187098	-4.61649536685847
H3057B05_1	Arrdc1	0.20705	0.10214375	1.03033497471187	0.317170142489237	0.999805217187098	-4.61652869928376
H3037C08_1		-0.207275	0.061175	-1.03022102844303	0.317222097114941	0.999805217187098	-4.61656430757538
H3030A02_1	Cpsf2	-0.169075	-0.2083625	-1.03015946868445	0.317250168261396	0.999805217187098	-4.61658354372999
H3159E12_1	Svil	0.26115	0.18599375	1.03010305607175	0.317275893875899	0.999805217187098	-4.61660117069788
H3143E11_1	Rab12	0.194475	-0.00509375	1.03000590606285	0.317320200292015	0.999805217187098	-4.61663152486153
H3016H09_1	2610029G23Rik	-0.2227	-0.3757625	-1.02992221820578	0.317358370676635	0.999805217187098	-4.61665767098357
H3004H04_1	Ddx52	0.1829	-0.03535	1.02977148267076	0.31742713006225	0.999805217187098	-4.61670476013054
H3074E03_1		-0.281075	0.0633375	-1.02967043171184	0.317473231332929	0.999805217187098	-4.61673632492827
H3025B02_1	Psma7	-0.228525	0.09218125	-1.02940103444371	0.317596158591378	0.999805217187098	-4.61682046309806
H3017H09_1	Lcor	0.206025	0.06728125	1.02934455268739	0.317621935795465	0.999805217187098	-4.61683810124266
H3116H05_1	Pias1	0.20255	0.11758125	1.02934423160879	0.317622082333927	0.999805217187098	-4.61683820150699
H3028H02_1	Bbs4	0.27035	0.1821875	1.02925705125042	0.317661872744119	0.999805217187098	-4.61686542469124
H3080C03_1		0.190175	0.01540625	1.02922321624185	0.317677316503129	0.999805217187098	-4.61687598960779
H3156B10_1	Scamp5	0.2668	0.437675	1.0291745115218	0.3176995483818	0.999805217187098	-4.61689119707379
H3062A01_1	A930004D18Rik	-0.24345	0.11203125	-1.02917147542078	0.31770093428487	0.999805217187098	-4.61689214504088
H3060F05_1	Sfrs12	-0.21905	-0.1644375	-1.02912260270534	0.317723244033161	0.999805217187098	-4.61690740434464
H3108H03_1		0.361675	0.05266875	1.02910341554576	0.317732003023526	0.999805217187098	-4.61691339490446
H3130B04_1	Amt///Nicn1	-0.1608	0.05824375	-1.02892919311347	0.317811543925696	0.999805217187098	-4.61696778602844
H3093D10_1		-0.184225	0.04085625	-1.02864089246894	0.317943198228893	0.999805217187098	-4.61705777539844
H3102D11_1	Tbca	-0.161025	-0.21776875	-1.02864030840947	0.317943464982834	0.999805217187098	-4.61705795768461
H3048H05_1	Epb4.1l4b	0.19465	0.0266125	1.02852388519789	0.317996641439723	0.999805217187098	-4.61709429195008
H3123F07_1	Ptov1	0.282625	0.361125	1.02814441275232	0.318170010048482	0.999805217187098	-4.6172126977525
H3121G05_1		0.253275	-0.10835625	1.02805565410021	0.318210570719508	0.999805217187098	-4.61724038782112
H3159C12_1	Glg1	0.30735	0.14135625	1.02773748786005	0.318355995722769	0.999805217187098	-4.61733963048136
H3062D04_1		-0.336825	0.1047625	-1.02735630172508	0.318530287810598	0.999805217187098	-4.61745849786683
H3041D04_1		0.198225	0.06505625	1.02732277249514	0.318545621843768	0.999805217187098	-4.61746895177754
H3002H02_1	Adcy9	0.314025	0.0431625	1.02728197210486	0.318564281930909	0.999805217187098	-4.61748167235724
H3133B12_1	Dcn	-0.235575	0.04274375	-1.0272464568764	0.318580525480364	0.999805217187098	-4.61749274482028
H3137E02_1	Ndufs2	0.167075	0.16125625	1.02719207528994	0.318605399054078	0.999805217187098	-4.61750969858815
H3040G06_1	Eif4g1	-0.363875	-0.37585625	-1.02697023780984	0.318706879568469	0.999805217187098	-4.61757885020957
H3111E07_1		0.312	0.37685	1.02690251675024	0.318737863452748	0.999805217187098	-4.61759995796234
H3136B02_1		-0.166725	-0.0785125	-1.02682434159886	0.318773632986877	0.999805217187098	-4.61762432272561
H3060H08_1		0.18055	0.0487625	1.02682014182411	0.318775554701364	0.999805217187098	-4.6176256316226
H3117G06_1	Pygb	0.22765	0.34088125	1.02667539074532	0.318841794314348	0.999805217187098	-4.61767074194852
H3155A10_1		-0.302625	0.69793125	-1.02662623043383	0.318864292821709	0.999805217187098	-4.61768606113933
H3068A02_1	Zfp280b	0.148125	0.0432875	1.02661595594267	0.318868995146399	0.999805217187098	-4.61768926277139
H3076A09_1	Mllt10	0.291075	0.00699375	1.02639852222972	0.318968519595549	0.999805217187098	-4.61775701120697
H3010G12_1		-0.1713	-0.053025	-1.02634872240029	0.318991317248788	0.999805217187098	-4.61777252631521
H3039D03_1		0.281575	0.0150875	1.02589407079187	0.319199504009393	0.999805217187098	-4.61791414478414
H3154F05_1	Tmem109	-0.1852	-0.22708125	-1.02571666374581	0.319280765661225	0.999805217187098	-4.61796939124909
H3082H08_1	Sdccag1	0.1673	0.04953125	1.02566667308129	0.319303666648017	0.999805217187098	-4.6179849574933
H3157H12_1	Rock1	0.328525	0.0123	1.02557071903564	0.319347626982527	0.999805217187098	-4.61801483424507
H3058A04_1		-0.351925	0.0700375	-1.02554348235194	0.319360105968092	0.999805217187098	-4.61802331439139
H3144F05_1	Agpat1	-0.133375	-0.11228125	-1.02549198947278	0.319383699323679	0.999805217187098	-4.61803934621371
H3037B10_1	Acox3	0.23145	0.049675	1.02547372016814	0.319392070375802	0.999805217187098	-4.61804503403387
H3041C06_1	Tmc6	-0.1672	0.00754375	-1.02510764731453	0.319559839056493	0.999805217187098	-4.61815898707461
H3039B01_1	Ars2	-0.227975	-0.218975	-1.02494231201443	0.319635631676135	0.999805217187098	-4.61821044277191
H3011H11_1	Rpl4	-0.136375	-0.2870875	-1.02471834601611	0.319738322070814	0.999805217187098	-4.61828013488593
H3133B11_1	Crebbp	0.14965	0.04283125	1.02462864748509	0.319779456234151	0.999805217187098	-4.61830804318843
H3048F03_1	Rock2	0.243025	-0.01055625	1.02451906174553	0.319829715437289	0.999805217187098	-4.61834213641965
H3107B07_1	Myst2	-0.210475	-0.19429375	-1.02442755906145	0.319871685537266	0.999805217187098	-4.61837060158245
H3053F12_1	Ankrd49	0.1648	0.24835625	1.02440940590713	0.319880012422845	0.999805217187098	-4.61837624852334
H3126H11_1		0.2265	0.09571875	1.02429759030182	0.319931305853712	0.999805217187098	-4.61841102947005
H3159B03_1	Fez1	0.208175	0.4621875	1.02405128469127	0.320044314863945	0.999805217187098	-4.61848763360405
H3106B04_1	Sidt2	0.2125	0.46684375	1.02401075892867	0.32006291146512	0.999805217187098	-4.61850023620455
H3006C08_1		-0.20055	0.0392	-1.02400887042763	0.320063778085734	0.999805217187098	-4.61850082347611
H3010B06_1	Adprhl2	-0.14245	-0.13683125	-1.02397026492562	0.32008149426115	0.999805217187098	-4.61851282852775
H3059D03_1		0.29435	0.02101875	1.02354577879622	0.320276338225886	0.999805217187098	-4.61864480584848
H3078F10_1	Xrcc1	0.2689	0.04230625	1.02340904843629	0.320339116999584	0.999805217187098	-4.61868730741719
H3143G03_1	Mtap	-0.2269	-0.5335125	-1.0232426450654	0.320415531746751	0.999805217187098	-4.61873902644588
H3117A11_1		0.1925	-0.21666875	1.02304878911981	0.320504569465921	0.999805217187098	-4.6187992693409
H3023H11_1	Ftl1	0.207925	0.6450375	1.02291510865683	0.320565978945839	0.999805217187098	-4.61884080668205
H3024C07_1	Hexa	0.251325	0.157525	1.02284006845164	0.320600454220537	0.999805217187098	-4.61886412134283
H3038C12_1		0.1736	0.11765625	1.02278206583523	0.320627103825856	0.999805217187098	-4.61888214155649
H3017F11_1		-0.1684	0.1345625	-1.02238170988193	0.320811092471232	0.999805217187098	-4.61900650143647
H3139B07_1	Hnrnpu///AI503316///Hnrnpu	-0.19575	-0.13548125	-1.02215535181063	0.320915151438087	0.999805217187098	-4.61907679617562
H3121C04_1		-0.2408	0.08415	-1.02208883413768	0.320945734813836	0.999805217187098	-4.61909745063299
H3053D05_1		0.182325	0.0825125	1.02189705268428	0.321033923356174	0.999805217187098	-4.61915699479071
H3108G04_1	Crip1///Crip1	0.282125	-0.0651	1.02185629434647	0.321052667840629	0.999805217187098	-4.6191696482486
H3106F01_1	Chdh	-0.307675	0.043975	-1.02178592851035	0.32108503044663	0.999805217187098	-4.61919149242098
H3127D10_1	Sccpdh	0.167675	0.051625	1.02173964050065	0.321106320461318	0.999805217187098	-4.61920586128003
H3114C12_1	Rps13	-0.14925	-0.1468375	-1.02158357746822	0.321178108531846	0.999805217187098	-4.61925430295839
H3110B05_1		-0.295375	-0.0254875	-1.02156816541913	0.321185198602646	0.999805217187098	-4.61925908650676
H3032C09_1	Psmd2	-0.241425	-0.09540625	-1.02153559511788	0.321200182423848	0.999805217187098	-4.61926919539385
H3013H03_1	Man1a	0.317125	0.16919375	1.0215103747086	0.321211785301843	0.999805217187098	-4.61927702290701
H3151B04_1	Gtf2a2	-0.194925	-0.15753125	-1.021365778977	0.321278313635489	0.999805217187098	-4.61932189724676
H3052E04_1		-0.331225	-0.01643125	-1.02126298375611	0.321325615562657	0.999805217187098	-4.61935379595943
H3148H03_1	Xpo4	0.2724	0.0640625	1.02119218410473	0.321358197389895	0.999805217187098	-4.61937576452086
H3026H08_1	Skiv2l2	0.2268	-0.0153125	1.02116881285203	0.321368953299459	0.999805217187098	-4.61938301616294
H3034G10_1		0.1841	-0.0345375	1.02084668563169	0.321517228664904	0.999805217187098	-4.61948295231002
H3114B11_1		-0.158125	-0.1169	-1.02074429577404	0.321564368972051	0.999805217187098	-4.6195147122277
H3053A01_1	Tnfsf13b	0.5324	-0.17496875	1.02057669593032	0.321641542576185	0.999805217187098	-4.61956669384156
H3090G05_1		0.1835	-0.03170625	1.02039851242777	0.321723604013763	0.999805217187098	-4.61962195046679
H3104C02_1		-0.1877	0.27864375	-1.02035906666363	0.321741772557406	0.999805217187098	-4.61963418197242
H3036D07_1	Ctnnd1	0.17425	0.06000625	1.02022335588332	0.32180428591292	0.999805217187098	-4.61967626082151
H3124D01_1	Gpr22	0.427075	0.07768125	1.02003279038582	0.321892081938434	0.999805217187098	-4.61973534045731
H3016G08_1	Caskin2	0.2825	0.36560625	1.01978553452557	0.32200602134051	0.999805217187098	-4.61981198213563
H3064E10_1		-0.270025	-0.1661125	-1.01969273426214	0.322048792565764	0.999805217187098	-4.61984074348501
H3094A01_1		-0.223875	0.177475	-1.01942252320207	0.322173354632168	0.999805217187098	-4.61992447729436
H3011G06_1	Ftl1	0.163325	0.5053125	1.01928071153772	0.32223874076465	0.999805217187098	-4.6199684151572
H3057B08_1		0.32645	0.58218125	1.01924611069261	0.322254695858593	0.999805217187098	-4.6199791348757
H3132B04_1		-0.1788	0.00956875	-1.01914046088953	0.322303416424669	0.999805217187098	-4.62001186451915
H3061D04_1	Nbr1	0.168775	0.3634	1.01896033315911	0.322386494670683	0.999805217187098	-4.62006766064707
H3107G04_1	Dnalc1	0.166125	0.10215625	1.0189225903769	0.322403904269356	0.999805217187098	-4.62007935079368
H3109D09_1	Ssx2ip	0.2133	-0.12986875	1.01852661983336	0.322586593724971	0.999805217187098	-4.62020197448353
H3095F04_1		-0.226475	-0.0742625	-1.01851531368848	0.322591811135948	0.999805217187098	-4.62020547519266
H3005D03_1	Umps	-0.2232	-0.38741875	-1.01838034207357	0.322654100691201	0.999805217187098	-4.6202472638839
H3065G10_1		-0.19645	0.00681875	-1.01824392773595	0.3227170647471	0.999805217187098	-4.62028949471901
H3141E12_1	A630018P17Rik	-0.27685	-0.0083375	-1.0178776076639	0.322886188388897	0.999805217187098	-4.62040287665761
H3036G07_1		0.200775	-0.0185	1.01776744673038	0.322937060097731	0.999805217187098	-4.62043696679654
H3156G08_1		-0.278575	0.0444375	-1.01765328145321	0.322989786997156	0.999805217187098	-4.62047229296893
H3080F05_1	Zc3h8	-0.18155	0.11405625	-1.01753975027169	0.323042227104712	0.999805217187098	-4.62050741976219
H3100B07_1	Foxo1	-0.17605	-0.02083125	-1.01745465676745	0.323081535799805	0.999805217187098	-4.62053374580326
H3134B11_1	Acad11///Nphp3	0.195375	0.0540875	1.01735182030699	0.323129045334687	0.999805217187098	-4.62056555875021
H3153B05_1		-0.253225	0.06595	-1.01709483507069	0.323247791930151	0.999805217187098	-4.62064504700751
H3003B03_1	Ppid	-0.1419	-0.1340125	-1.01708528478659	0.32325220548006	0.999805217187098	-4.62064800069927
H3136H12_1	Ikbkb	0.297575	-0.004275	1.01707536952643	0.323256787744582	0.999805217187098	-4.62065106724639
H3120A02_1	Sfrs7	-0.177275	-0.09345625	-1.01690212255312	0.323336860002016	0.999805217187098	-4.620704644398
H3078H11_1	Gulo	0.265925	-0.03391875	1.01686046867587	0.323356113924343	0.999805217187098	-4.62071752488731
H3050G12_1		-0.25475	-0.0985625	-1.01665548307809	0.32345087751056	0.999805217187098	-4.62078090569416
H3108A09_1	Tmem1	0.176025	0.06689375	1.01646251433415	0.323540103793427	0.999805217187098	-4.62084056150778
H3139C10_1		-0.291775	0.164875	-1.01645469842305	0.32354371813905	0.999805217187098	-4.62084297758488
H3051H04_1		0.221475	0.06251875	1.01636545999514	0.323584987083644	0.999805217187098	-4.6208705621633
H3114A05_1		0.2221	0.2404	1.01625791022877	0.32363472920185	0.999805217187098	-4.62090380437941
H3085A08_1	Clip4	0.190875	0.06466875	1.01615537598906	0.323682156676076	0.999805217187098	-4.62093549371775
H3063A08_1	Lgmn	0.20145	0.30879375	1.01597810019225	0.323764167685479	0.999805217187098	-4.62099027666885
H3004E11_1		0.2166	0.0590125	1.01580895449839	0.32384243130843	0.999805217187098	-4.62104254000619
H3018H05_1	Zc3h7a	0.181275	0.09433125	1.01562993983233	0.323925275922177	0.999805217187098	-4.62109784504553
H3136B04_1	Ift20	-0.1448	0.05755625	-1.01551499701854	0.323978477217616	0.999805217187098	-4.62113335148815
H3095D09_1		-0.200425	-0.058575	-1.01550185091651	0.323984562287629	0.999805217187098	-4.62113741218173
H3089E07_1		-0.265425	0.09969375	-1.01548770513658	0.3239911101793	0.999805217187098	-4.62114178161793
H3147F06_1	Me1	-0.275675	-0.02815625	-1.01533471214442	0.324061934581654	0.999805217187098	-4.62118903590094
H3149A04_1	Kctd2	0.20545	-0.064025	1.01505392498884	0.324191946776753	0.999805217187098	-4.62127574645133
H3138C06_1		-0.149075	0.0191125	-1.01502606853255	0.324204847101438	0.999805217187098	-4.62128434781366
H3094F07_1		-0.32955	0.10085	-1.01491873693268	0.324254555769128	0.999805217187098	-4.62131748728799
H3008E06_1		-0.277225	-0.01553125	-1.01488617971052	0.324269635119849	0.999805217187098	-4.62132753902639
H3047D09_1	Oraov1	0.174825	0.11324375	1.01468662217731	0.324362073961224	0.999805217187098	-4.62138914485992
H3052D09_1	Chd4	0.21145	0.2495625	1.01460761552718	0.324398676507142	0.999805217187098	-4.62141353246753
H3044C05_1		0.18905	-0.0099	1.01454253786931	0.324428828168973	0.999805217187098	-4.62143361935054
H3080B06_1	Ufc1	-0.14695	-0.10773125	-1.01451664703836	0.324440824414255	0.999805217187098	-4.62144161053018
H3082H04_1		0.175225	0.077075	1.01429046571118	0.324545636541562	0.999805217187098	-4.6215114141679
H3124C02_1	8030463A06Rik///Tnc	0.473425	1.7979125	1.01428059252392	0.324550212310364	0.999805217187098	-4.62151446092512
H3021D11_1		-0.167425	0.0194	-1.01391025313894	0.324721880648155	0.999805217187098	-4.62162872628459
H3010A06_1	Prpf19	-0.255875	-0.0294	-1.01379869031954	0.324773607461422	0.999805217187098	-4.62166314152176
H3140F06_1	Pdia6	-0.16175	-0.28804375	-1.01336055895602	0.324976806385506	0.999805217187098	-4.62179826799885
H3063G04_1	Gdf9///Gdf9	0.16985	0.04285625	1.01324727748809	0.325029359334952	0.999805217187098	-4.62183319807021
H3146E06_1	Mcam///Mcam	-0.291425	0.6015625	-1.01308700926566	0.325103720424696	0.999805217187098	-4.62188261100291
H3066B04_1		-0.3026	-0.07174375	-1.01299533418591	0.325146261157541	0.999805217187098	-4.62191087286988
H3055H12_1		0.26	-0.055675	1.01274725642205	0.32526139848233	0.999805217187098	-4.62198734065325
H3089B04_1		-0.215425	-0.11608125	-1.01259228081027	0.325333340095091	0.999805217187098	-4.62203510283359
H3059B10_1	Arfgap3	0.163825	0.2558375	1.01248345955239	0.325383863018872	0.999805217187098	-4.62206863709769
H3021B07_1	BC031781	-0.331075	0.016025	-1.01239994506165	0.325422640428931	0.999805217187098	-4.62209437087372
H3141B07_1		-0.321275	-0.08245625	-1.01236705818671	0.325437911346176	0.999805217187098	-4.62210450401494
H3083B06_1		0.157975	0.03179375	1.01204883626524	0.325585702923924	0.999805217187098	-4.62220254116263
H3118B07_1	Gc	-0.288475	0.0974125	-1.01185247486212	0.325676922627599	0.999805217187098	-4.62226302333728
H3128H11_1	Tsc22d1///Tsc22d1	0.267525	0.51950625	1.01177574611904	0.325712571889357	0.999805217187098	-4.62228665432905
H3140D10_1	Car15///Dgcr2	0.1928	0.13880625	1.01144078685228	0.325868231084586	0.999805217187098	-4.62238979842589
H3139E09_1	Psph	0.230875	0.0392375	1.01124527404476	0.325959112348848	0.999805217187098	-4.62244998996564
H3021E11_1	Atp6v1a	0.2034	0.2096375	1.01092384272422	0.326108563997864	0.999805217187098	-4.62254892693637
H3019F06_1	Tnfrsf23	-0.29785	-0.041425	-1.0109123406847	0.326113912847337	0.999805217187098	-4.62255246680712
H3134D08_1		0.205475	0.12104375	1.01073076957152	0.326198357976972	0.999805217187098	-4.62260834286268
H3036F05_1		-0.262175	-0.07935625	-1.01057177756105	0.326272314725457	0.999805217187098	-4.62265726383373
H3112F12_1	1810035L17Rik	-0.133725	-0.3504625	-1.01051128515029	0.326300456501949	0.999805217187098	-4.62267587538141
H3107G05_1	Tcte1	0.19275	-0.0022875	1.01045977308961	0.326324421869232	0.999805217187098	-4.62269172325649
H3135C04_1	1700041C02Rik	0.264875	0.050275	1.01020769587398	0.326441715732803	0.999805217187098	-4.62276926630945
H3045B01_1		-0.34755	0.1235	-1.00996929026741	0.32655267552537	0.999805217187098	-4.62284258934201
H3126F04_1	Gpr124	-0.28305	0.0745375	-1.00989103225741	0.326589104533418	0.999805217187098	-4.62286665499424
H3115B05_1	Mterf	-0.21595	0.1175125	-1.00977748848831	0.32664196413276	0.999805217187098	-4.62290156892544
H3097F09_1		0.223825	-0.0765	1.0095827267657	0.326732648347247	0.999805217187098	-4.6229614494187
H3030H12_1	Pex19	0.227475	-0.082825	1.00955693469908	0.326744658887201	0.999805217187098	-4.62296937862091
H3083C04_1	Pmm1	-0.16235	0.0078	-1.00931365220546	0.326857963129582	0.999805217187098	-4.62304416238847
H3152H05_1	Atp9a	0.353975	0.50090625	1.00927759627113	0.32687475786741	0.999805217187098	-4.62305524455241
H3039G01_1		-0.3113	-0.06763125	-1.00920782172809	0.326907260358327	0.999805217187098	-4.62307668956852
H3107D04_1	Lztfl1	0.33005	0.17249375	1.00891653462892	0.32704297288508	0.999805217187098	-4.62316620289619
H3086F09_1	Tcl1b1	-0.210525	-0.058725	-1.00883594210998	0.327080528494326	0.999805217187098	-4.6231909655027
H3109D07_1		0.25265	0.05631875	1.00878065914619	0.327106291773324	0.999805217187098	-4.62320795064756
H3055B04_1	Abhd11	-0.29785	0.09495	-1.00870825006878	0.327140038431831	0.999805217187098	-4.62323019648121
H3036D02_1	Eomes	0.429575	-0.0066125	1.00840305739515	0.327282302260384	0.999805217187098	-4.62332394489346
H3075C07_1		-0.26325	0.01345	-1.00827648976737	0.327341313873656	0.999805217187098	-4.623362816916
H3124G07_1		-0.156675	-0.3146375	-1.00817446867231	0.327388886248342	0.999805217187098	-4.62339414721877
H3059A11_1	Cxadr	0.251225	0.3391125	1.00800125644078	0.327469666203211	0.999805217187098	-4.62344733417451
H3036D10_1		0.2155	0.02579375	1.00798974141764	0.327475036895419	0.999805217187098	-4.62345086974212
H3158A10_1		-0.1413	0.06255625	-1.00795858100274	0.327489570656383	0.999805217187098	-4.62346043705803
H3120E05_1	Tspan3	0.24505	0.3663875	1.00792982288859	0.327502984347083	0.999805217187098	-4.62346926657256
H3080A08_1	Nr2c2	0.21265	0.0216875	1.00771249901429	0.327604363611047	0.999805217187098	-4.62353598424661
H3141C06_1		-0.191425	-0.017875	-1.0076399205442	0.327638225633179	0.999805217187098	-4.62355826298759
H3138D03_1	Tbc1d8	0.221275	0.04725	1.00756419923473	0.327673556607744	0.999805217187098	-4.62358150507069
H3069A10_1		0.20965	0.102725	1.00750999545232	0.327698849325478	0.999805217187098	-4.62359814164229
H3084H04_1	Cbln1	0.201875	0.069275	1.007301127924	0.327796324570619	0.999805217187098	-4.62366224181656
H3033F02_1		-0.167925	0.07451875	-1.00720749679355	0.327840027423677	0.999805217187098	-4.62369097314419
H3134A08_1		-0.3075	0.0224875	-1.00711193946772	0.327884633585496	0.999805217187098	-4.62372029330532
H3112G06_1	Tsc22d1///Tsc22d1	0.247075	0.4777	1.00658969990218	0.32812849081091	0.999805217187098	-4.62388049390469
H3105B10_1	Ccnb1	-0.329475	-1.3204375	-1.00647755026914	0.328180875248814	0.999805217187098	-4.62391488779299
H3055C05_1	Itpk1	-0.23325	0.0409625	-1.00599876835153	0.328404577945301	0.999805217187098	-4.62406168499049
H3151A02_1	Pdrg1	0.219775	0.20750625	1.00577685477878	0.328508299810609	0.999805217187098	-4.62412970571244
H3158D01_1		0.259825	-0.05755625	1.00563229059281	0.328575881206446	0.999805217187098	-4.62417401083186
H3057A08_1	Aytl2	0.22365	-0.16631875	1.00556258916109	0.328608468995943	0.999805217187098	-4.62419537064095
H3142B02_1		-0.188125	-0.0154125	-1.00549231103772	0.328641328719529	0.999805217187098	-4.62421690595965
H3017G11_1	Igf2bp1	-0.189325	-0.05316875	-1.00542067103562	0.328674827601087	0.999805217187098	-4.62423885734199
H3155G09_1	Chchd3	-0.18835	-0.3552875	-1.00526105130057	0.328749474498464	0.999805217187098	-4.62428776223914
H3028H05_1	Nav3	0.176375	0.0960375	1.00518864359178	0.328783340240961	0.999805217187098	-4.62430994470943
H3071A06_1	Sugt1	-0.35755	-0.08771875	-1.00497929707438	0.328881267364883	0.999805217187098	-4.62437407178852
H3106A08_1		-0.259525	0.00581875000000001	-1.00462764217498	0.32904580918126	0.999805217187098	-4.62448176641405
